system:index,meanCO,time,.geo
20190329T061754_20190404T053718,0.05639531463384629,1553841569000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190330T074030_20190405T070535,0.04342962670841193,1553932924000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190331T072135_20190406T064612,0.034084064635075385,1554018188000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190401T070239_20190407T062652,0.0366070089675126,1554103454000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190402T064344_20190408T060736,0.04192616452965716,1554188718000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190403T062449_20190409T054759,0.046035456108219616,1554273983000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190404T074724_20190410T070837,0.053919045526301994,1554365338000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190405T072829_20190411T120105,0.04410767854508964,1554450603000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190406T070933_20190412T063035,0.041323861468092256,1554535868000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190407T065038_20190413T061120,0.05130355386282209,1554621133000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190408T063143_20190414T055200,0.04121412769029855,1554706397000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190409T061247_20190415T053239,0.04335588858873807,1554791661000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190410T073522_20190416T065317,0.04000081091702084,1554883016000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190411T071626_20190417T064355,0.04331927467771776,1554968281000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190412T065731_20190418T071628,0.04002918902173007,1555053545000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190413T063835_20190419T060215,0.0368096995896325,1555138810000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190414T061939_20190420T054247,0.03597868296786607,1555224074000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190415T074214_20190421T070321,0.03725447001348048,1555315428000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190417T070422_20190423T062438,0.03619239878017156,1555485956000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190418T064526_20190424T060521,0.03913298973376933,1555571220000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190419T062630_20190425T054601,0.04038025960643989,1555656485000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190420T074905_20190426T070642,0.04390514744982304,1555747839000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190421T073008_20190427T065721,0.043100320111696656,1555833102000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190422T071112_20190428T063808,0.044489829466820785,1555918367000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190423T065216_20190429T061837,0.04074345011890581,1556003631000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190424T063320_20190501T081032,0.04291689766189702,1556088894000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190425T075553_20190501T072007,0.04592390839568218,1556180248000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190426T073657_20190502T070118,0.044054505056187396,1556265512000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190427T071800_20190503T064159,0.04055595033304678,1556350775000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190428T065904_20190504T062235,0.0385310939206378,1556436038000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190429T064007_20190505T060314,0.040411734555657726,1556521301000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190430T080240_20190506T072356,0.043446421577122085,1556612655000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190501T074343_20190507T070556,0.044226841349184164,1556697918000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190502T072446_20190508T064517,0.04981411347114993,1556783180000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190503T070549_20190509T062616,0.04543336768335046,1556868444000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190504T064652_20190510T060641,0.0397863855501542,1556953707000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190505T062755_20190511T054720,0.04118842159832385,1557038970000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190507T073130_20190513T084545,0.039155912481845724,1557215585000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190508T071233_20190514T071106,0.04250541778907546,1557300848000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190509T065335_20190515T092635,0.04400373648706151,1557386109000,"{""type"":""MultiPoint"",""coordinates"":[]}"
